id	uid	created_at	Core Status
52885134	txn_881d35cb3d14ceb394643378e5bf8ac264567dc79428635cb91f096fc9ec888b	2021-07-06 01:21:15	SUCCESS
52885141	txn_8d82b4b3bd39516939f576f53bca87682593fef976cf0633b9bae3f4215aa0a4	2021-07-06 01:21:37	SUCCESS
52885147	txn_e50c8aece86d385456a2615cdb41af48e8038256f69c8223ba8cedd81e001493	2021-07-06 01:21:51	SUCCESS
52885158	txn_1f6fdba167803df6a42f68decf37ce5b1f1dd43491cdfe6654e6ffde8727d89b	2021-07-06 01:22:30	SUCCESS
52885161	txn_b1e45db3ed210205db3807fb86a7ffa54dda286060c2796e522747ab31507dff	2021-07-06 01:22:39	FAILURE
52885162	txn_f13f92f7652dc6f1253a363d450e8eb2880aea5c4369b8e1ca38f05fb65665f4	2021-07-06 01:22:47	SUCCESS
52885175	txn_c7ea600b70b9e4655c0d25ab3800704eeb5149d817fa9b511d840eec7186923c	2021-07-06 01:23:46	SUCCESS
52885185	txn_53f28faa547b2a7eed523e955822492b9df45447655c2f458c3735516666b9c8	2021-07-06 01:25:18	SUCCESS
52885218	txn_bbacf14e6ad593b53a588361bec48d70e2d8d7126589ecf33d486219b7620e45	2021-07-06 01:28:00	SUCCESS
52885227	txn_1f93ffd839d09c8f68a208fd662d1e6caa82aca61400574a179d32c9b316a6a4	2021-07-06 01:28:47	FAILURE
52885234	txn_964cbb4819dd04ef71a3b18e43e823200b66300ba5f5c3eacec7988f91259091	2021-07-06 01:29:28	SUCCESS
52885239	txn_34cf16edd4b1a37976ea3647779767651d2ea565a4a145553eaa2d8e5a7982b1	2021-07-06 01:30:09	SUCCESS
52885242	txn_88d62f30b152cddc7444ce19555c505598d5983a284370108132dcbac00b8f27	2021-07-06 01:30:21	SUCCESS
52885293	txn_f50149f306e5a7aeadbf0e28d624c548d7e6b8de2a2978a5646036036c27b0e6	2021-07-06 01:35:49	SUCCESS
52885295	txn_238a164eebe7c91dd10f1d2beee8ce5b05c63b10f1a25fb8d0dbe51511ef03a0	2021-07-06 01:36:20	SUCCESS
52885298	txn_a572a3e9c86350c64a7146b593f88b50bb222ce10c0defc2bed569cbd0c39f8c	2021-07-06 01:36:35	SUCCESS
52885303	txn_6b29924ee9ed83606b8f52a38f4dc80087072e4007dfabfdd9ad595ff097eb2e	2021-07-06 01:36:59	FAILURE
52885312	txn_ec7d55fe53cbb879874fc95c5221ce30e1a2da5ca8455bf6b1b0a1bd7aff3bc3	2021-07-06 01:37:37	FAILURE
52885349	txn_fe3328650209a166a3d79147f9705cd526da9d514f538485ee9b5c3c7e0fcfdb	2021-07-06 01:39:51	SUCCESS
52885355	txn_8dc345b0b69b0b0ceab2bad2a0a549864f7570163c9bf928c40e4b48fbb1011c	2021-07-06 01:40:28	SUCCESS
52885365	txn_ef62486c895cb8dbf6253445253adb1d991f97fb33f74908d2fce49c908bce2b	2021-07-06 01:41:06	SUCCESS
52885375	txn_d3226d1b5b0448f54d8c8f90bb2cd1ecddf0c7b4f1a8484a54006708c04faf76	2021-07-06 01:41:40	SUCCESS
52885411	txn_3e8269128b43cb4aaa1d0f5b3a203fb64843087f5067feb1e15ea9328fb7d7ca	2021-07-06 01:45:27	SUCCESS
52885418	txn_6bbab09a6a7410f4c8c6dc9fc8f3c68a4488f1d8c7db004693a4450161868315	2021-07-06 01:46:06	SUCCESS
52885421	txn_fdaff2f8900f2e8e7a725977eb4e7def2f2763f0c01917314ece67a2f8ceee36	2021-07-06 01:46:24	SUCCESS
52885431	txn_13e0d93325309ffe539d6b4ae41ad6ab94dc29a7bfb3ddc11cf459061d85a8f3	2021-07-06 01:47:22	SUCCESS
52885451	txn_c955a9d9d4ad10658e318e3f9fd3667c2012af60bb1bfb593f4c0fe40a150556	2021-07-06 01:48:16	SUCCESS
52885463	txn_f96e4dc0b4da7735309b4a4c49a4cee60a342571fedcca1f21694b20772f2bdf	2021-07-06 01:48:43	SUCCESS
52885464	txn_a4e9e58ee90c0fcc6e4ac46f2c09fef646c6c6047cf2934a51b61d42c3147571	2021-07-06 01:48:45	SUCCESS
52885471	txn_cbb71353a7a3387d1f94f464ecebd9e56787ea6b1d9af946ba149fcad1e5bf46	2021-07-06 01:49:14	FAILURE
52885478	txn_28d47f86af98571b918b30b343e1d7a422280533e03ade9aa6bd7e69eda12944	2021-07-06 01:49:19	SUCCESS
52885482	txn_9efd1273afc6205e57e404c04b8041574cc7bf37b96bbe0f10bc3a56b0ec3f0d	2021-07-06 01:49:29	SUCCESS
52885486	txn_e488022fb38b341d8909c0214b3156f36549d8fe4758142c395ff52bde899418	2021-07-06 01:49:50	SUCCESS
52885499	txn_4e8df85f30699eac04818458b22dd759f3a4aed842cc7da73d20cca27f02a9fa	2021-07-06 01:50:45	SUCCESS
52885515	txn_4061e3b1dfb2ffe78c24721affd0c4d45ac4c265d7f30cfff3e7686eaa69995b	2021-07-06 01:52:18	SUCCESS
52885530	txn_cef42ae363dfa6dead8bdc6f1f40c0496643fb80c739b19faedce1825cd79bb9	2021-07-06 01:53:07	SUCCESS
52885543	txn_aaaf92a004c5a80237c66792b10940192cd60f10a945a9fdad15e2889e81667d	2021-07-06 01:54:15	SUCCESS
52885560	txn_685b33a7b9bd5ec92217dcaaead2d3f083e2e79a6abe206a8b5b4e736c6c6473	2021-07-06 01:55:24	SUCCESS
52885567	txn_82ed1717421e948072a3ca2496ee1e73c9262aa043c7f4d8d5b7d7f936466214	2021-07-06 01:56:07	SUCCESS
52885579	txn_fdef2c6b4dd8d374d5e431aaad4457b0cde7b4d4c0807c9d6a53cb0e5fcd4781	2021-07-06 01:56:44	SUCCESS
52885588	txn_0285f35cfbc38d71fa4a34e03b7ead9520f6c7b4a1a23a18c808610d92fd64d4	2021-07-06 01:57:11	SUCCESS
52885595	txn_6ecbec784f01175c9046b1e27d8bf9afca56d07a4bffe94f055025366da7baae	2021-07-06 01:57:42	SUCCESS
52885613	txn_6f3efabfa01ead98f7df652d5b478ff7da58b2f565cebaec840c04043a37a2a4	2021-07-06 01:58:51	SUCCESS
52885616	txn_4754c412cf36459510f92493a8ed1759343ef2b14d05fc2689f2fda4cf9002ce	2021-07-06 01:59:13	SUCCESS
52885618	txn_00a08d638e79ff53ee0e84a0cb6e9bf83811e9bc2ddcf9171e983cbc0047b184	2021-07-06 01:59:14	SUCCESS
52885647	txn_6f364397d25e939c6d46bb77f2123634a974a565f78ed00c7d49c9b9c7a691c3	2021-07-06 02:01:36	SUCCESS
52885650	txn_62f99df526a55086084a33be1ad3778fd83218da22cbe5458873d9b9e95157a3	2021-07-06 02:01:38	FAILURE
